name,LTE,year,weight,display_type,screen_size,ppi,cpu_ghz,ram,internal,camera,front_cam,blth_v,battery,price
Lava Z50,1,2018,140,OTHER,4.5,218,1.1,1.0,8.0,5.0,5.0,4.0,2000,61.6
Lava Z90,1,2017,159,LCD,5.2,282,1.3,3.0,32.0,8.0,8.0,4.0,2750,150.5
Lava Z80,1,2017,136,LCD,5.0,294,1.3,3.0,16.0,8.0,5.0,4.0,2500,126.0
Lava Z60,1,2017,149,LCD,5.0,196,1.1,1.0,16.0,5.0,5.0,4.0,2500,91.0
Lava A97 2GB+,1,2017,160,LCD,5.0,196,1.3,2.0,16.0,8.0,5.0,4.0,2350,107.8
Lava A44,1,2017,141,OTHER,4.0,245,1.1,1.0,8.0,5.0,2.0,2.1,1500,75.60000000000002
Lava A77,1,2017,140,OTHER,4.5,218,1.3,1.0,8.0,5.0,5.0,4.0,2000,85.38600000000002
Lava Z25,1,2017,163,LCD,5.5,267,1.5,4.0,32.0,13.0,8.0,4.0,3020,285.0
Lava Z10,1,2017,148,LCD,5.0,294,1.3,3.0,16.0,8.0,5.0,4.0,2620,182.4
LeEco Le Pro 3 AI Edition,1,2017,168,LCD,5.5,401,2.3,4.0,32.0,13.0,8.0,4.2,4000,319.2
LeEco Le Pro3 Elite,1,2017,175,LCD,5.5,401,2.15,6.0,128.0,16.0,8.0,4.2,4070,319.2
LeEco Le S3,1,2016,153,LCD,5.5,401,1.4,3.0,32.0,16.0,8.0,4.1,3000,228.0
LeEco Le Pro3,1,2016,175,LCD,5.5,403,2.35,6.0,128.0,16.0,8.0,4.2,4070,376.2
LeEco Le Max 2,1,2016,185,LCD,5.7,515,2.15,6.0,128.0,21.0,8.0,4.2,3100,399.0
LeEco Le 2 Pro,1,2016,153,LCD,5.5,401,2.5,4.0,32.0,21.0,8.0,4.2,3000,296.4
LeEco Le 2,1,2016,153,LCD,5.5,401,2.3,3.0,64.0,16.0,8.0,4.1,3000,216.6
LeEco Le Max,1,2016,204,LCD,6.33,464,1.5,4.0,128.0,21.0,4.0,4.1,3400,399.0
LeEco Le 1s,1,2016,169,LCD,5.5,401,2.2,3.0,32.0,13.0,5.0,4.1,3000,239.4
Lenovo S5 Pro GT,1,2018,170,LCD,6.2,402,2.2,6.0,128.0,12.0,20.0,5.0,3500,228.0
Lenovo Z5s,1,2018,172,LCD,6.3,409,2.2,6.0,128.0,16.0,16.0,5.0,3300,250.8
Lenovo Z5 Pro GT,1,2018,210,OLED,6.39,403,2.84,12.0,512.0,16.0,16.0,5.0,3350,456.0
Lenovo Z5 Pro,1,2018,210,OLED,6.39,403,2.2,6.0,128.0,16.0,16.0,5.0,3350,341.99999999999994
Lenovo S5 Pro,1,2018,170,LCD,6.2,402,1.8,6.0,128.0,12.0,20.0,5.0,3500,228.0
Lenovo K5 Pro,1,2018,165,LCD,5.99,403,1.8,6.0,128.0,16.0,16.0,4.2,4050,170.99999999999997
Lenovo K9,1,2018,155,LCD,5.7,282,2.0,3.0,32.0,13.0,13.0,4.1,3000,126.0
Lenovo Z5,1,2018,165,LCD,6.2,402,1.8,6.0,128.0,16.0,8.0,5.0,3300,228.0
Lenovo K5 Note (2018),1,2018,176,LCD,6.0,268,1.8,4.0,64.0,16.0,8.0,4.2,3760,170.99999999999997
Lenovo A5,1,2018,160,LCD,5.45,295,1.5,3.0,32.0,13.0,8.0,4.2,4000,136.79999999999998
Lenovo K5,1,2018,160,LCD,5.7,282,1.5,3.0,32.0,13.0,8.0,4.0,3000,148.2
Lenovo K5 play,1,2018,155,LCD,5.7,282,1.4,2.0,32.0,13.0,8.0,4.2,3000,125.4
Lenovo S5,1,2018,155,LCD,5.7,424,2.0,4.0,64.0,13.0,16.0,4.2,3000,170.99999999999997
Lenovo K320t,1,2017,153,LCD,5.7,282,1.3,3.0,32.0,8.0,8.0,4.2,3000,170.99999999999997
Lenovo moto tab,1,2017,500,LCD,10.1,224,2.0,2.0,32.0,8.0,5.0,4.2,7000,300.0
Lenovo Tab 7 Essential,0,2017,254,LCD,7.0,170,1.3,1.0,16.0,2.0,2.0,4.0,3500,91.2
Lenovo Tab 7,0,2017,260,LCD,7.0,210,1.3,1.0,16.0,5.0,2.0,4.0,3500,114.0
Lenovo K8 Plus,1,2017,165,LCD,5.2,424,2.5,4.0,32.0,13.0,8.0,4.2,4000,228.0
Lenovo K8,1,2017,165,LCD,5.2,282,2.35,3.0,32.0,13.0,8.0,4.2,4000,193.8
Lenovo K8 Note,1,2017,180,LCD,5.5,401,2.3,4.0,64.0,13.0,13.0,4.2,4000,205.2
Lenovo Tab 4 10 Plus,1,2017,475,LCD,10.1,224,2.0,4.0,64.0,8.0,5.0,4.2,7000,307.7999999999999
Lenovo Tab 4 10,1,2017,500,LCD,10.1,149,1.4,2.0,32.0,5.0,2.0,4.0,7000,205.2
Lenovo Tab 4 8 Plus,1,2017,300,LCD,8.0,283,2.0,4.0,64.0,8.0,5.0,4.2,4850,228.0
Lenovo Tab 4 8,1,2017,310,LCD,8.0,189,1.4,2.0,32.0,5.0,2.0,4.0,4850,193.8
Lenovo Tab3 8 Plus,1,2017,329,LCD,8.0,283,2.0,3.0,16.0,8.0,5.0,4.0,4250,193.8
Lenovo ZUK Edge,1,2016,160,OTHER,5.5,401,2.35,6.0,64.0,13.0,8.0,4.1,3100,513.0
