,name,LTE,year,weight,display_type,screen_size,ppi,cpu_ghz,ram,internal,camera,front_cam,blth_v,battery,price
33,Apple Watch Edition Series 2 38mm,0,"2016, September. Released 2016, December",39.6 g body (1.41 oz),"AMOLED capacitive touchscreen, 16M colors","1.5 inches, 7.1 cm2 (~53.1% screen-to-body ratio)",340 x 272 pixels (~290 ppi density),Dual-core 780 MHz Cortex-A7,"8 GB, 512 MB RAM","8 GB, 512 MB RAM",No,,"4.0, LE",Non-removable Li-Ion 273 mAh battery (1.03 Wh),About 1450 EUR
34,Apple Watch Series 2 38mm,0,"2016, September. Released 2016, December",41.9 g body (1.48 oz),"AMOLED capacitive touchscreen, 16M colors","1.5 inches, 7.1 cm2 (~55.1% screen-to-body ratio)",340 x 272 pixels (~290 ppi density),Dual-core 780 MHz Cortex-A7,"8 GB, 512 MB RAM","8 GB, 512 MB RAM",No,,"4.0, A2DP",Non-removable Li-Ion 273 mAh battery (1.03 Wh),About 650 EUR
35,Apple Watch Series 2 Aluminum 42mm,0,"2016, September. Released 2016, December",34.2 g body (1.20 oz),"AMOLED capacitive touchscreen, 16M colors","1.65 inches, 8.6 cm2 (~55.4% screen-to-body ratio)",390 x 312 pixels (~303 ppi density),Dual-core 780 MHz Cortex-A7,"8 GB, 512 MB RAM","8 GB, 512 MB RAM",No,,"4.0, A2DP",Non-removable Li-Ion 334 mAh battery (1.27 Wh),About 450 EUR
36,Apple Watch Series 1 Aluminum 42mm,0,"2016, September",30 g body (1.06 oz),"AMOLED capacitive touchscreen, 16M colors","1.65 inches, 8.6 cm2 (~55.4% screen-to-body ratio)",390 x 312 pixels (~303 ppi density),Dual-core 520 MHz Cortex-A7,"8 GB, 512 MB RAM","8 GB, 512 MB RAM",No,,"4.0, LE",Non-removable Li-Ion 250 mAh battery (0.94 Wh),About 300 EUR
37,Apple Watch Series 2 Aluminum 38mm,0,"2016, September. Released 2016, December",28.2 g body (0.99 oz),"AMOLED capacitive touchscreen, 16M colors","1.5 inches, 7.1 cm2 (~55.1% screen-to-body ratio)",340 x 272 pixels (~290 ppi density),Dual-core 780 MHz Cortex-A7,"8 GB, 512 MB RAM","8 GB, 512 MB RAM",No,,"4.0, A2DP",Non-removable Li-Ion 273 mAh battery (1.03 Wh),About 420 EUR
38,Apple Watch Series 1 Aluminum 38mm,0,"2016, September",25 g body (0.88 oz),"AMOLED capacitive touchscreen, 16M colors","1.5 inches, 7.1 cm2 (~55.1% screen-to-body ratio)",340 x 272 pixels (~290 ppi density),Dual-core 520 MHz Cortex-A7,"8 GB, 512 MB RAM","8 GB, 512 MB RAM",No,,"4.0, LE",Non-removable Li-Ion 205 mAh battery (0.78 Wh),About 270 EUR
39,Apple iPhone 7 Plus,1,"2016, September",188 g (6.63 oz),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~67.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr),"32/128/256 GB, 3 GB RAM","32/128/256 GB, 3 GB RAM","12 MP, f/1.8, 28mm (","7 MP, f/2.2, 32mm (s","4.2, A2DP, LE",Non-removable Li-Ion 2900 mAh battery (11.1 Wh),About 690 EUR
40,Apple iPhone 7,1,"2016, September",138 g (4.87 oz),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)",Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr),"32/128/256 GB, 2 GB RAM","32/128/256 GB, 2 GB RAM","12 MP, f/1.8, 28mm (","7 MP, f/2.2, 32mm (s","4.2, A2DP, LE",Non-removable Li-Ion 1960 mAh battery (7.45 Wh),About 550 EUR
41,Apple iPad Pro 9.7 (2016),1,"2016, March",437 g (Wi-Fi) / 444 g (LTE) (15.66 oz),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","9.7 inches, 291.4 cm2 (~71.6% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",Dual-core 2.16 GHz (Twister),"32/128/256 GB, 2 GB RAM","32/128/256 GB, 2 GB RAM","12 MP, f/2.2, 29mm (","5 MP, f/2.2, 31mm (s","4.2, A2DP, EDR",Non-removable Li-Ion 7306 mAh battery (27.9 Wh),About 690 EUR
42,Apple iPhone SE,1,"2016, March",113 g (3.99 oz),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","4.0 inches, 44.1 cm2 (~60.8% screen-to-body ratio)","640 x 1136 pixels, 16:9 ratio (~326 ppi density)",Dual-core 1.84 GHz Twister,"16/32/64/128 GB, 2 GB RAM","16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm (","1.2 MP, f/2.4, 31mm ","4.2, A2DP, LE",Non-removable Li-Po 1624 mAh battery (6.21 Wh),About 300 EUR
43,Apple iPhone 6s Plus,1,"2015, September",192 g (6.77 oz),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~67.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Dual-core 1.84 GHz Twister,"16/32/64/128 GB, 2 GB RAM","16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm (","5 MP, f/2.2, 31mm (s","4.2, A2DP, LE",Non-removable Li-Ion 2750 mAh battery (10.45 Wh),About 470 EUR
